 Input File ,   id   ,    Differences (COLUMN_NAME)    ,past_due_31_90,past_due_1_30,past_due_91_plus
 INPUT-2 ,64102,ENTRY PRESENT,0,0,234.64

 INPUT-1 ,64116,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,64116,ENTRY PRESENT,0,0,538.94

 INPUT-1 ,64586,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,64586,ENTRY PRESENT,0,0,48.5

 INPUT-1 ,64992,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,64992,ENTRY PRESENT,0,0,391.97


 INPUT-1 ,65440,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,65440,ENTRY PRESENT,0,0,359.25

